total_duration,e_mean,e_slope,p_mean,p_slope,window_duration,target,turn_id,pause_index
6.3,-87.819534,0.7098938,256.14825,5.7078233,1.5,0,en__000,0
8.6,-27.876556,0.15207739,199.96329,-0.11240132,1.5,0,en__000,1
10.9,-37.92212,0.17729291,201.52045,0.5110622,1.5,0,en__000,2
13.7,-33.480164,-0.030174708,197.5341,0.08738898,1.5,1,en__000,3
4.8,-36.816372,-0.00031476346,272.6478,0.6569852,1.5,0,en__001,0
10.7,-29.974794,-0.055165622,100.446655,-0.17330277,1.5,1,en__001,1
4.0,-50.168533,0.50142527,213.94968,0.21915188,1.5,0,en__002,0
6.3,-90.67908,0.70634294,199.53752,3.31439,1.5,0,en__002,1
8.6,-37.98844,-0.1649518,185.20775,0.032067206,1.5,0,en__002,2
9.6,-49.98128,-0.010973902,189.9109,0.10777431,1.5,0,en__002,3
16.1,-37.181717,0.09206662,185.55736,0.060855214,1.5,0,en__002,4
22.3,-35.56032,-0.22799309,183.86465,-0.4714041,1.5,0,en__002,5
24.7,-70.31784,0.8638536,231.44589,1.6931448,1.5,1,en__002,6
6.4,-28.39563,-0.18948935,193.74037,-0.4822903,1.5,1,en__003,0
5.6,-35.85499,-0.25251245,173.34993,2.4682572,1.5,0,en__004,0
6.8,-56.455013,0.28965923,198.23827,-3.995842,1.5,1,en__004,1
4.0,-30.249336,-0.13783774,222.22374,0.036576625,1.5,0,en__005,0
5.4,-58.05144,0.64721125,189.08194,0.81315863,1.5,1,en__005,1
10.8,-35.899883,0.0628325,229.0058,-0.21915917,1.5,0,en__006,0
14.4,-36.251774,0.0068724207,218.73619,-0.49497986,1.5,0,en__006,1
16.1,-48.14843,0.30352348,194.40654,-0.31010035,1.5,1,en__006,2
8.9,-80.30447,0.5691002,238.38919,-2.9472988,1.5,0,en__007,0
12.1,-30.193584,-0.33784637,211.41653,1.0364491,1.5,0,en__007,1
12.8,-49.56147,-0.14755394,225.5806,-1.6813337,1.5,0,en__007,2
13.9,-43.913418,0.094366305,203.93561,0.4344875,1.5,0,en__007,3
16.5,-40.502148,-0.03083708,187.56548,-0.9273293,1.5,0,en__007,4
20.6,-46.809917,0.60089165,212.95074,0.74026227,1.5,0,en__007,5
25.0,-32.093758,-0.11791553,181.89702,0.3882577,1.5,1,en__007,6
4.9,-30.348045,0.016594226,202.0949,0.22419122,1.5,0,en__008,0
7.1,-31.893166,-0.11800653,205.6399,-0.14322834,1.5,0,en__008,1
8.3,-37.64118,0.062880695,201.07658,0.27842388,1.5,0,en__008,2
11.9,-36.683197,-0.08412486,180.66449,0.10115126,1.5,1,en__008,3
7.2,-31.412762,-0.15439449,226.59415,0.66373396,1.5,1,en__009,0
5.4,-39.147144,-0.17814854,221.48499,0.35546422,1.5,0,en__010,0
7.8,-31.446144,-0.055374313,200.06206,-0.12287126,1.5,1,en__010,1
4.2,-30.84389,-0.124122776,86.11017,0.08983877,1.5,1,en__011,0
9.7,-86.36562,0.83857435,276.46848,0.13104704,1.5,0,en__012,0
13.7,-29.13072,0.00936993,201.98236,0.024394684,1.5,0,en__012,1
15.9,-29.078844,-0.03926384,176.93565,0.24479204,1.5,1,en__012,2
2.3,-35.387093,0.004028621,178.21729,0.28329015,1.5,1,en__013,0
10.2,-34.426445,-0.12998594,214.50201,-0.23189548,1.5,0,en__014,0
13.0,-35.597675,-0.18661468,221.244,0.6780213,1.5,1,en__014,1
10.6,-27.967384,-0.038150217,203.33359,0.004526378,1.5,0,en__015,0
18.4,-36.826355,-0.04556838,191.81358,0.44308165,1.5,1,en__015,1
